cnpj,nome,situação,link
42.089.315/0001-05,SELECT MOTORS LTDA,Ativa,Ativa
42.509.990/0001-38,JUNIOR MARTINS CERQUEIRA - GAS.,Ativa,http://cnpj.biz/42.509.990/0001-38,Ativa
41.354.485/0001-07,LDR VARIEDADES LTDA,Ativa,http://cnpj.biz/41.354.485/0001-07,Ativa
41.402.320/0001-55,SACOLAO JUSSARA HORTIFRUTI LTDA,Ativa,http://cnpj.biz/41.402.320/0001-55,Ativa
42.528.381/0001-26,SASSY CHIC COMERCIO VAREJISTA DE ROUPAS E ACESSORIOS LTDA,Ativa,http://cnpj.biz/42.528.381/0001-26,Ativa
41.582.500/0001-66,OLIVERCLICK MARKETING DIGITAL LTDA,Ativa,http://cnpj.biz/41.582.500/0001-66,Ativa
43.560.920/0001-77,JB SERVICOS E SUPRIMENTOS DE INFORMATICA LTDA,Ativa,http://cnpj.biz/43.560.920/0001-77,Ativa
44.246.396/0001-27,XADREZ DISTRIBUIDORA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/44.246.396/0001-27,Ativa
44.197.350/0001-65,ALEXANDRO FERNANDO DA SILVA COMERCIO,Ativa,http://cnpj.biz/44.197.350/0001-65,Ativa
44.108.226/0001-86,LEAO DE JUDA COMERCIO DE ACAI LTDA,Ativa,http://cnpj.biz/44.108.226/0001-86,Ativa
42.709.284/0001-30,ENEKIN COMERCIO DE CARNES LTDA,Ativa,http://cnpj.biz/42.709.284/0001-30,Ativa
42.369.698/0001-67,PAULO HENRIQUE MARTINS VALVERDE LTDA,Ativa,http://cnpj.biz/42.369.698/0001-67,---,
42.357.395/0001-24,G DA S FERRAREZI,Ativa,http://cnpj.biz/42.357.395/0001-24,Ativa
41.885.875/0001-03,FALCON COMBAT LTDA,Ativa,http://cnpj.biz/41.885.875/0001-03,Ativa
42.287.152/0001-67,JFC COMERCIO DE ARTEFATOS DE MADEIRAS E EMBALAGENS LTDA,Ativa,http://cnpj.biz/42.287.152/0001-67,Ativa
42.823.984/0001-50,WAGNER SQUEDINO FALLS ELETRONICOS,Ativa,http://cnpj.biz/42.823.984/0001-50,Ativa
44.468.871/0001-00,ELM MERCADO AUTONOMO LTDA,Ativa,http://cnpj.biz/44.468.871/0001-00,Ativa
44.386.606/0001-82,"M.S. PRIME TECNOLOGIA, COMERCIO E SERVICO PARA CELULARES LTDA,Ativa",http://cnpj.biz/44.386.606/0001-82,cl  verd,Ativa
42.642.383/0001-41,KAVERNA MOTOS LTDA,Ativa,http://cnpj.biz/42.642.383/0001-41,Ativa
41.831.415/0001-94,RENAN ARAGUARY AYRES DO NASCIMENTO,Ativa,http://cnpj.biz/41.831.415/0001-94,---,
44.546.758/0001-03,PICKUP SHOW LTDA,Ativa,http://cnpj.biz/44.546.758/0001-03,--,
28.736.107/0002-00,OTICA WW PRODUTOS OPTICOS LTDA,Ativa,http://cnpj.biz/28.736.107/0002-00,Ativa
41.764.094/0001-52,FERNANDO ALVES PETRY,Ativa,http://cnpj.biz/41.764.094/0001-52,Ativa
42.544.045/0001-77,ARMANDO SELL'S LTDA,Ativa,http://cnpj.biz/42.544.045/0001-77,Ativa
41.928.005/0001-66,CARE GLOVES COMERCIO DE EQUIPAMENTOS DE SEGURANCA LTDA,Ativa,http://cnpj.biz/41.928.005/0001-66,Ativa
41.931.012/0001-17,BIN COMERCIO DE FRIOS E LATICINIOS LTDA,Ativa,http://cnpj.biz/41.931.012/0001-17,Ativa
44.165.415/0001-90,MOREIRA CHOPP COMERCIO DE BEBIDAS LTDA,Ativa,http://cnpj.biz/44.165.415/0001-90,Ativa
41.229.776/0001-65,AROMAS BRASIL LTDA,Ativa,http://cnpj.biz/41.229.776/0001-65,Ativa
42.016.610/0001-23,M. S. CASA DE RACOES LTDA,Ativa,http://cnpj.biz/42.016.610/0001-23,Ativa
41.843.698/0001-94,TEIXEIRA & NUNES MOVEIS E COLCHOES LTDA,Ativa,http://cnpj.biz/41.843.698/0001-94,--,
41.263.899/0001-12,DIONIR MORGEROT COMERCIO DE ALIMENTOS,Ativa,http://cnpj.biz/41.263.899/0001-12,Ativa
36.231.299/0002-13,B. CORDEIRO COMERCIO DE VEICULOS LTDA,Ativa,http://cnpj.biz/36.231.299/0002-13,Ativa
44.404.650/0001-78,MESQUITA COMERCIO E SERVICOS LTDA,Ativa,http://cnpj.biz/44.404.650/0001-78,Ativa
41.863.095/0001-54,BELLO'S COMERCIO DE TECIDOS E ARMARINHOS LTDA,Ativa,http://cnpj.biz/41.863.095/0001-54,Ativa
42.712.894/0001-92,AVIARIO E PET SHOP SCARANTE LTDA,Ativa,http://cnpj.biz/42.712.894/0001-92,Ativa
43.134.552/0001-03,ALP COMERCIO DE PRODUTOS PARA SAUDE LTDA,Ativa,http://cnpj.biz/43.134.552/0001-03,Ativa
41.173.186/0001-68,S S DISTRIBUIDORA DE SUBLIMACAO LTDA,Ativa,http://cnpj.biz/41.173.186/0001-68,d,Ativa
43.945.309/0001-67,FRUDECK AMS LTDA,Ativa,http://cnpj.biz/43.945.309/0001-67,--,
43.064.589/0001-02,KS TINTAS LTDA,Ativa,http://cnpj.biz/43.064.589/0001-02,Ativa
42.766.903/0001-28,DJP COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,Ativa,http://cnpj.biz/42.766.903/0001-28,Ativa
43.262.892/0001-01,SS ALIMENTOS LTDA,Ativa,http://cnpj.biz/43.262.892/0001-01,--,
43.538.200/0001-05,A A C CORREA D2 VEICULOS PARTS,Ativa,http://cnpj.biz/43.538.200/0001-05,Ativa
43.687.509/0001-67,BLACK BEAR BEBIDAS E TABACARIA LTDA,Ativa,http://cnpj.biz/43.687.509/0001-67,Ativa
44.386.646/0001-24,ALLEGRA DECOR LTDA,Ativa,http://cnpj.biz/44.386.646/0001-24,Ativa
41.858.798/0001-94,JBR SORVETES E ALIMENTOS LTDA,Ativa,http://cnpj.biz/41.858.798/0001-94,Ativa
